year;unemployment;inflation;pensioners_inflation;wage_growth;gdp_growth;contribution_collection
2022;5,50;113,50;113,80;97,50;104,20;99,00
2023;6,00;109,80;110,10;99,80;101,40;98,00
2024;6,00;104,80;105,10;102,90;102,80;98,00
2025;6,00;103,10;103,40;103,00;102,80;98,00
2026;6,00;102,50;102,80;102,80;102,60;98,00
2027;6,00;102,50;102,80;102,50;102,50;98,00
2028;6,00;102,50;102,80;102,40;102,50;98,00
2029;6,00;102,50;102,80;102,40;102,50;98,00
2030;6,00;102,50;102,80;102,40;102,40;98,00
2031;6,00;102,50;102,80;102,40;102,40;98,00
2032;6,00;102,50;102,80;102,40;102,30;98,00
2035;6,00;102,50;102,80;102,30;102,00;98,00
2040;6,00;102,50;102,80;102,20;101,60;98,00
2045;6,00;102,50;102,80;102,10;101,20;98,00
2050;6,00;102,50;102,80;101,90;101,00;98,00
2055;6,00;102,50;102,80;101,80;101,00;98,00
2060;6,00;102,50;102,80;101,70;101,20;98,00
2065;6,00;102,50;102,80;101,60;101,30;98,00
2070;6,00;102,50;102,80;101,50;101,10;98,00
2075;6,00;102,50;102,80;101,40;100,80;98,00
2080;6,00;102,50;102,80;101,20;100,70;98,00
