year;0;1;2;3;4;5;6;7;8;9;10;11
30;591,5;590,5;589,6;588,6;587,7;586,7;585,8;584,8;583,8;582,9;581,9;581
31;580;579;578,1;577,1;576,1;575,2;574,2;573,2;572,3;571,3;570,3;569,4
32;568,4;567,5;566,5;565,6;564,6;563,7;562,7;561,8;560,8;559,9;558,9;558
33;557;556;555,1;554,1;553,2;552,2;551,3;550,3;549,3;548,4;547,4;546,5
34;545,5;544,6;543,6;542,7;541,7;540,8;539,8;538,9;537,9;537;536;535,1
35;534,1;533,2;532,2;531,3;530,3;529,4;528,5;527,5;526,6;525,6;524,7;523,7
36;522,8;521,9;520,9;520;519;518,1;517,1;516,2;515,2;514,3;513,3;512,4
37;511,4;510,5;509,5;508,6;507,7;506,7;505,8;504,9;503,9;503;502,1;501,1
38;500,2;499,3;498,3;497,4;496,4;495,5;494,6;493,6;492,7;491,7;490,8;489,8
39;488,9;488;487;486,1;485,1;484,2;483,3;482,3;481,4;480,4;479,5;478,5
40;477,6;476,7;475,7;474,8;473,9;472,9;472;471,1;470,1;469,2;468,3;467,3
41;466,4;465,5;464,6;463,6;462,7;461,8;460,9;459,9;459;458,1;457,2;456,2
42;455,3;454,4;453,4;452,5;451,6;450,6;449,7;448,8;447,8;446,9;446;445
43;444,1;443,2;442,3;441,3;440,4;439,5;438,6;437,6;436,7;435,8;434,9;433,9
44;433;432,1;431,2;430,3;429,3;428,4;427,5;426,6;425,7;424,8;423,8;422,9
45;422;421,1;420,2;419,3;418,3;417,4;416,5;415,6;414,7;413,8;412,8;411,9
46;411;410,1;409,2;408,3;407,4;406,5;405,6;404,6;403,7;402,8;401,9;401
47;400,1;399,2;398,3;397,4;396,5;395,6;394,7;393,8;392,9;392;391,1;390,2
48;389,3;388,4;387,5;386,6;385,7;384,8;383,9;383;382,1;381,2;380,3;379,4
49;378,5;377,6;376,7;375,8;374,9;374;373,2;372,3;371,4;370,5;369,6;368,7
50;367,8;366,9;366;365,1;364,2;363,3;362,5;361,6;360,7;359,8;358,9;358
51;357,1;356,2;355,4;354,5;353,6;352,8;351,9;351;350,2;349,3;348,4;347,6
52;346,7;345,8;345;344,1;343,2;342,3;341,5;340,6;339,7;338,8;338;337,1
53;336,2;335,3;334,5;333,6;332,8;331,9;331,1;330,2;329,3;328,5;327,6;326,8
54;325,9;325,1;324,2;323,4;322,5;321,7;320,8;320;319,1;318,3;317,4;316,6
55;315,7;314,9;314;313,2;312,3;311,5;310,7;309,8;309;308,1;307,3;306,4
56;305,6;304,8;304;303,1;302,3;301,5;300,7;299,8;299;298,2;297,4;296,5
