# Data source: ZUS - Prognoza wpływów i wydatków Funduszu Emerytalnego do 2080 roku
# Official document: https://www.zus.pl/documents/10182/167761/Publikacja_Fundusz_Emerytalny_2023-2080.pdf/3c2c41c9-6a50-0574-4634-ee9cfa43f286?t=1674049287158
# This CSV contains structured data extracted from the official ZUS forecast document
year;unemployment;inflation;pensioners_inflation;wage_growth;gdp_growth;contribution_collection
2022;5,00;113,50;113,80;98,00;104,60;99,00
2023;5,40;109,80;110,10;100,30;101,70;99,00
2024;5,00;104,80;105,10;103,40;103,10;99,00
2025;5,00;103,10;103,40;103,70;103,10;99,00
2026;5,00;102,50;102,80;103,50;102,90;99,00
2027;5,00;102,50;102,80;103,00;102,90;99,00
2028;5,00;102,50;102,80;102,90;102,90;99,00
2029;5,00;102,50;102,80;102,90;102,80;99,00
2030;5,00;102,50;102,80;102,90;102,70;99,00
2031;5,00;102,50;102,80;102,90;102,70;99,00
2032;5,00;102,50;102,80;102,90;102,60;99,00
2035;5,00;102,50;102,80;102,80;102,40;99,00
2040;5,00;102,50;102,80;102,70;102,00;99,00
2045;5,00;102,50;102,80;102,60;101,60;99,00
2050;5,00;102,50;102,80;102,50;101,40;99,00
2055;5,00;102,50;102,80;102,40;101,40;99,00
2060;5,00;102,50;102,80;102,40;101,60;99,00
2065;5,00;102,50;102,80;102,30;101,70;99,00
2070;5,00;102,50;102,80;102,20;101,50;99,00
2075;5,00;102,50;102,80;102,10;101,30;99,00
2080;5,00;102,50;102,80;102,00;101,20;99,00
