year;unemployment;inflation;pensioners_inflation;wage_growth;gdp_growth;contribution_collection
2022;4,80;113,50;113,80;98,50;105,00;99,00
2023;5,00;109,80;110,10;100,80;102,10;99,50
2024;4,70;104,80;105,10;103,70;103,30;99,50
2025;4,60;103,10;103,40;104,00;103,30;99,50
2026;4,40;102,50;102,80;103,80;103,20;99,50
2027;4,20;102,50;102,80;103,40;103,20;99,50
2028;4,20;102,50;102,80;103,40;103,20;99,50
2029;4,20;102,50;102,80;103,40;103,20;99,50
2030;4,20;102,50;102,80;103,40;103,10;99,50
2031;4,20;102,50;102,80;103,40;103,10;99,50
2032;4,20;102,50;102,80;103,30;103,00;99,50
2035;4,20;102,50;102,80;103,30;102,80;99,50
2040;4,20;102,50;102,80;103,20;102,40;99,50
2045;4,20;102,50;102,80;103,20;102,10;99,50
2050;4,20;102,50;102,80;103,10;101,90;99,50
2055;4,20;102,50;102,80;103,10;101,80;99,50
2060;4,20;102,50;102,80;103,00;102,00;99,50
2065;4,20;102,50;102,80;102,90;102,20;99,50
2070;4,20;102,50;102,80;102,90;102,00;99,50
2075;4,20;102,50;102,80;102,80;101,80;99,50
2080;4,20;102,50;102,80;102,80;101,60;99,50
